n_cities,actual_log_time,pred_lineal,pred_rf,error_lineal_abs,error_rf_abs,error_lineal_pct,error_rf_pct
31,-0.1409856687485914,0.07455848164819079,-0.2488547140011614,0.21554415039678218,0.10786904525257002,152.88373088554485,76.51064552165538
32,-0.0997124074947113,0.14267211890429832,-0.24175152912631034,0.24238452639900962,0.14203912163159904,243.08361666211457,142.44879368611447
33,-0.0597092945531936,0.2353405880570396,-0.2297584479965418,0.29504988261023324,0.1700491534433482,494.14397677631297,284.7951139195849
34,-0.0209004828661323,0.3251817608448997,-0.22658914272326314,0.34608224371103197,0.20568865985713083,1655.8576465801796,984.1335301895548
35,0.0167832773054073,0.3920865911476905,-0.23546029806257376,0.3753033138422832,0.2522435753679811,2236.1741810782487,1502.9458834402521
36,0.0534053820009352,0.4956103488516994,-0.22100072620206554,0.4422049668507642,0.2744061082030007,828.015736022674,513.8173306169695
37,0.0890240152734225,0.5755007915547214,-0.21244416513476883,0.48647677628129893,0.30146818040819134,546.4556668076206,338.6369166592653
38,0.1236927053079411,0.6534811118505255,-0.22574384502211514,0.5297884065425844,0.3494365503300563,428.3101458761383,282.5037656506186
39,0.1574608082911088,0.7500992413017931,-0.23665300575568426,0.5926384330106842,0.3941138140467931,376.37202516770526,250.2932750847864
40,0.1903739310103336,0.8353510540676108,-0.25861084894477476,0.6449771230572772,0.4489847799551083,338.7948757659826,235.8436250028042
41,0.2224743012634085,0.8982380003972821,-0.2365862622872843,0.6757636991338736,0.4590605635506928,303.7491050859724,206.3431870304729
42,0.2538010936266959,1.0076802946553822,-0.2372919018371311,0.7538792010286863,0.491092995463827,297.03544230488296,193.4952243295502
43,0.2843907168864066,1.0393524575567195,-0.26315837294364214,0.7549617406703129,0.5475490898300488,265.4663798227511,192.53409387787957
44,0.3142770684225674,1.1425482877232447,-0.24121337950684935,0.8282712193006773,0.5554904479294167,263.54809259802846,176.75182307050196
45,0.3434917600029017,1.251668860120639,-0.2197465259542326,0.9081771001177372,0.5632382859571343,264.39560008952327,163.97432239782876
46,0.3720643187578752,1.3093644420521315,-0.2543259927014254,0.9373001232942564,0.6263903114593006,251.91884199576106,168.3553837009914
47,0.4000223665402631,1.4071875328402748,-0.2317396810412871,1.0071651663000116,0.6317620475815502,251.77721311206693,157.9316809321366
48,0.4273917804003596,1.511846840657687,-0.22800448531816295,1.0844550602573275,0.6553962657185225,253.7379308608751,153.3478872954879
49,0.454196836513663,1.6017353157548893,-0.23739383437224187,1.1475384792412262,0.6915906708859049,252.6522395112953,152.26673003591046
50,0.4804603395672969,1.6627118246365014,-0.24438591042561197,1.1822514850692045,0.7248462499929089,246.06640500940026,150.86494977831182
51,0.8061682004070877,1.7534201791527348,-0.21058623451601707,0.9472519787456471,1.0167544349231048,117.50053875448285,126.12187312891754
52,0.8294698931501622,1.8263143421203896,-0.25211551389263276,0.9968444489702274,1.081585407042795,120.17849679684092,130.39477574468052
53,0.8523277172556788,1.9033470289332264,-0.23908659017215744,1.0510193116775475,1.0914143074278362,123.31164297479556,128.0510166842828
54,0.874758267411871,2.012802083962012,-0.2197465259542326,1.1380438165501412,1.0945047933661036,130.09809211832288,125.12082870669998
55,0.8967772247329581,2.1005318464692957,-0.23955370790257072,1.2037546217363375,1.1363309326355289,134.23117676687107,126.71273325143879
56,0.918399422611525,2.1536254947518962,-0.23749276248556261,1.2352260721403714,1.1558921850970876,134.49769694191775,125.85941983829186
57,0.9396389067423042,2.257664492522336,-0.2297584479965418,1.3180255857800316,1.169397354738846,140.26937117254766,124.45178103502616
58,0.9605089899256772,2.3408612010898135,-0.23154294935310177,1.3803522111641362,1.192051939278779,143.71049366971002,124.10627612876566
59,0.9810223021864012,2.413353257466886,-0.2419257679326559,1.4323309552804848,1.2229480701190572,146.00391368149872,124.66057778640473
60,1.0011908366800597,2.5222581553318637,-0.22828762008047285,1.521067318651804,1.2294784567605326,151.92581303437117,122.80160901566705
61,1.0210259918050546,2.5550008954620873,-0.26390347844832257,1.5339749036570327,1.2849294702533771,150.23857531238204,125.8468913197569
62,1.0405386098903853,2.6600218462815493,-0.23908659017215744,1.619483236391164,1.2796252000625428,155.6389374692946,122.97719545431802
63,1.0597390127879958,2.7631041634605005,-0.2428914994432864,1.7033651506725047,1.3026305122312822,160.73440065127323,122.91993561738184
64,1.078637034662216,2.8276510334468226,-0.25691512125847804,1.7490139987846065,1.335552155920694,162.15037520312146,123.81849621350457
65,1.0972420522370658,2.920468423543541,-0.2419257679326559,1.8232263713064754,1.3391678201697217,166.1644636741061,122.04853226682442
